Well,Sample ID,ng/ul,Size (bp),% (Conc.) (ng/uL),nmole/L,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul),DQN,Threshold
A8,SampA8,0.5000,5000,,0.1646,19823,36.5266,299.0935,36.6705,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0315,35,,1.4722,721,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.1818,48,0.6,6.2033,119,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,6.1169,63,19.8,159.1954,14255,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.2192,90,0.7,3.9986,160,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.1046,102,0.3,1.6836,170,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0706,114,0.2,0.9916,62,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0551,420,0.2,0.2177,81,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,23.5533,468,76.2,83.3453,35139,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.2586,516,0.8,0.8185,378,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.2023,549,0.7,0.6121,165,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0511,557,0.2,0.1498,138,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0288,3274,0.1,0.0145,52,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0646,3910,0.2,0.0279,63,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.5000,5000,,0.1650,21149,30.9070,257.2583,31.1284,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.0305,35,,1.4238,589,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,6.9047,63,19.9,179.6983,14449,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.3948,94,1.1,7.1224,545,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.2015,100,0.6,3.3415,288,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,25.7939,418,74.4,102.7589,31794,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,1.3814,445,4.0,5.0287,626,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.5000,5000,,0.1633,16077,34.6763,297.9498,35.0518,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0268,35,,1.2524,667,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0935,49,0.3,3.1910,64,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,6.1891,63,18.3,161.0724,15169,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0450,78,0.1,0.9595,64,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0634,85,0.2,1.2248,115,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.1630,90,0.5,2.9095,148,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0954,102,0.3,1.5360,184,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0516,128,0.2,0.6673,76,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,26.1026,461,77.4,93.5730,36890,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.6627,531,2.0,2.0422,579,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.2675,584,0.8,0.7473,148,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.5000,5000,,0.1650,20839,33.7339,267.9230,34.0373,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.0355,35,,1.6553,633,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.3922,51,2.3,12.8471,217,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,6.8969,62,40.4,182.3776,15014,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.1986,71,1.2,4.6529,291,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.2361,91,1.4,4.3061,462,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.1910,99,1.1,3.2003,296,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,8.5038,421,49.8,33.7147,11216,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.4103,453,2.4,1.4970,253,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.2372,473,1.4,0.8198,150,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
A12,SampA12,0.5000,5000,,0.1654,19362,17.0661,243.4156,17.2461,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.0470,35,,2.1938,856,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.0830,46,0.2,3.0175,83,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,7.5285,63,18.4,195.9305,13686,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.1007,74,0.2,2.2322,73,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.2827,94,0.7,4.9375,316,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.1165,103,0.3,1.8402,126,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.2891,118,0.7,4.0594,257,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.5424,124,1.3,7.1870,625,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.1892,136,0.5,2.2696,142,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,24.4217,462,59.8,87.7382,27226,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,2.4682,475,6.0,8.5500,4122,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,4.6086,491,11.3,15.1368,1609,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.1808,900,0.4,0.3355,57,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B1,SampB1,0.5000,5000,,0.1651,16848,40.8114,333.2343,40.9770,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.0366,35,,1.7578,654,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.7311,43,2.2,27.8233,1278,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.2574,57,0.8,7.6678,160,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,7.3191,70,22.2,171.5049,15278,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.0587,87,0.2,1.1204,77,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.1381,95,0.4,2.3372,87,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.0827,108,0.3,1.2455,142,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.2500,434,0.8,0.9565,311,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,22.9624,472,69.7,80.9066,34305,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.9296,492,2.8,3.0472,516,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.0425,558,0.1,0.1261,54,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.0675,571,0.2,0.1949,108,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.1043,600,0.3,0.2856,67,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B2,SampB2,0.5000,5000,,0.1649,19180,32.9433,297.2161,33.1262,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,0.0291,35,,1.3602,633,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,0.7041,43,2.1,26.7980,1266,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,7.1326,70,21.7,167.1345,14466,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,0.1674,98,0.5,2.7761,244,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,24.7096,413,75.3,98.9178,32135,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,0.0834,475,0.3,0.2881,96,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B3,SampB3,0.5000,5000,,0.1649,18484,32.7971,295.9146,33.3963,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.0411,35,,1.9191,796,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,6.9052,63,27.7,182.5955,13539,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.0686,70,0.3,1.5419,50,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.1252,88,0.5,2.3358,89,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.2622,101,1.1,4.3495,162,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.0338,116,0.1,0.4782,76,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.1505,415,0.6,0.6011,139,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.8453,447,3.4,3.1612,596,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,15.6102,477,62.6,54.3041,20606,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.7917,499,3.2,2.5394,290,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.1387,537,0.6,0.4164,181,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B4,SampB4,0.5000,5000,,0.1650,17377,24.9313,252.3231,25.2055,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.0268,35,,1.2509,636,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.0541,49,0.2,1.8453,57,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.0792,55,0.2,2.3594,116,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
